Author,Title,Year,Score, read ,Modern Library         100 best of 20th century compiled in 1998,Man Booker,NBCC,National Book Award,Pen/Faulkner,Pulitzer,"  Esquire           75 best, sept 2008",Flanagan          best of 21st century,Observer           100 best of all time compiled in 2003,Daniel Burt      100 greatest novels of all time compiled in 2004,Radcliffe          100 best of 20th century compiled in 1998,Time Magazine         100 best novels since 1923 compiled in 2005,NYTimes      best novels of last 25 years compiled in 2006
"Walls, Jeanette",Half Broke Horses,2009,1,,,,,,,,,,,,,,2009
"Adiga, Aravind",The White Tiger,2008,1,,,1,,,,,,,,,,,
"Bolano, Robert",2666,2008,2,,,,1,,,,,,,,,,2008
"Christensen, Kate",The Great Man,2008,1,,,,,,1,,,,,,,,
"Diaz, Junot",The Brief Wondrous Life of Oscar Wao,2008,2,1,,,1,,,1,,,,,,,
"Lahiri, Jhumpa",Unaccostumed Earth,2008,1,,,,,,,,,,,,,,2008
"Matthiessen, Peter",Shadow Country,2008,1,,,,,1,,,,,,,,,
"Millhauser, Stephen",Dangerous Laughter,2008,1,,,,,,,,,,,,,,2008
"Morrison, Toni",A Mercy,2008,1,,,,,,,,,,,,,,2008
"O'Neill, Joseph",Netherland,2008,2,1,,,,,1,,,,,,,,2008
"Bolano, Robert",The Savage Detectives,2007,1,,,,,,,,,,,,,,2007
"Enright, Anne",The Gathering,2007,1,1,,1,,,,,,,,,,,
"Ferris, Joshua",Then We Came to the End,2007,1,,,,,,,,,,,,,,2007
"Johnson, Denis",Tree of Smoke,2007,2,1,,,,1,,,,,,,,,2007
"McCarthy, Cormac",The Road,2007,1,1,,,,,,1,,,,,,,
"Petterson, Per",Out Stealing Horses,2007,1,,,,,,,,,,,,,,2007
"Roth, PHilip",Exit Ghost,2007,0,1,,,,,,,,,,,,,
"Thomas, Michael",Man Gone Down,2007,1,,,,,,,,,,,,,,2007
"Brooks, Geraldine",March,2006,1,,,,,,,1,,,,,,,
"Desai, Kiran",The Inheritance of Loss,2006,2,1,,1,1,,,,,,,,,,
"Ford, Richard",The Lay of the Land,2006,1,1,,,,,,,,,,,,,2006
"Hempel, Amy",The Collected Stories of Amy Hempel,2006,1,,,,,,,,,,,,,,2006
"Messud, Claire",The Emperor's Children,2006,1,,,,,,,,,,,,,,2006
"Pessl, Marisha",Special Topics in Calamity Physics,2006,1,,,,,,,,,,,,,,2006
"Powers, Richard",The Echo Maker,2006,1,1,,,,1,,,,,,,,,
"Roth, Philip",Everyman,2006,1,1,,,,,1,,,,,,,,
"Shteyngart, Gary",Absurdistan,2006,1,1,,,,,,,,,,,,,2006
"Woodrell, Daniel",Winter's Bone,2006,1,,,,,,,,1,,,,,,
"Banville, John",The Sea,2005,1,1,,1,,,,,,,,,,,
"Doctorow, E L ",The March,2005,3,1,,,1,,1,,,8,,,,,
"Gaitskill, Mary",Veronica,2005,1,,,,,,,,,,,,,,2005
"Helprin, Mark",Freddy and Fredericka,2005,1,,,,,,,,,6,,,,,
Ishiguro,Never Let Me Go,2005,1,1,,,,,,,,,,,,1,
"McEwan, Ian",Saturday,2005,1,1,,,,,,,,,,,,,2005
"Murakami, Haruki",Kafka on the Shore,2005,1,1,,,,,,,,,,,,,2005
"Sittenfeld, Curtis",Prep,2005,1,1,,,,,,,,,,,,,2005
"Smith, Zadie",On Beauty,2005,2,,,,,,,,,10,,,,,2005
"Vollman, William",Europe Central,2005,2,,,,,1,,,,5,,,,,
"Hollinghurst, Alan",The Line of Beauty,2004,2,,,1,,,,,,2,,,,,
"Jin, Ha",War Trash,2004,2,1,,,,,1,,,,,,,,2004
"Mitchell, David",Cloud Atlas,2004,1,,,,,,,,,3,,,,,
"Munro, Alice",Runaway,2004,1,1,,,,,,,,,,,,,2004
"Pamuk, Orhan",Snow,2004,1,,,,,,,,,,,,,,2004
"Robinson, Marilynne",Gilead,2004,3,1,,,1,,,1,,,,,,,2004
"Roth, Philip",The Plot Against America,2004,1,1,,,,,,,,,,,,,1
"Smith, Ali",The Accidental,2004,1,1,,,,,,,,1,,,,,
"Toibin, Colm",The Master,2004,1,,,,,,,,,,,,,,2004
"Tuck, Lily",The News from Paraguay,2004,1,1,,,,1,,,,,,,,,
"Updike, John",The Early Stories,2004,1,,,,,,1,,,,,,,,
"Alexander, Caroline",The Bounty,2003,1,,,,,,,,,,,,,,2003
"Ali, Monica",Brick Lane,2003,1,1,,,,,,,,,,,,,2003
"Boyle, T.C.",Drop City,2003,1,,,,,,,,,,,,,,2003
"Hazzard, Shirley",The Great Fire,2003,1,,,,,1,,,,,,,,,
"Jones, Edward P",The Known World,2003,5,1,,,1,,,1,1,7,,,,,1
"Lethem, Jonathan",Fortress of Solitude,2003,1,1,,,,,,,,,,,,,2003
"Murray, Sabina",The Caprices,2003,1,,,,,,1,,,,,,,,
"Pierre, DBC",Vernon God Little,2003,1,,,1,,,,,,,,,,,
"Eugenides, Jeffrey",Middlesex,2002,3,1,,,,,,1,,9,,,,,2002
"Glass, Julia",Three Junes,2002,1,1,,,,1,,,,,,,,,
"Kennedy, William",Roscoe,2002,1,,,,,,,,,,,,,,2002
"Martel, Yann",Life of Pi,2002,1,,,1,,,,,,,,,,,
"McEwan, Ian",Atonement,2002,4,1,,,1,,,,,,1,,,1,2002
"Patchett, Ann",Bel Canto,2002,1,1,,,,,1,,,,,,,,
"Russo, Richard",Empire Falls,2002,1,,,,,,,1,,,,,,,
