Author,Title,Year,Score, read ,Modern Library         100 best of 20th century compiled in 1998,Man Booker,NBCC,National Book Award,Pen/Faulkner,Pulitzer,"  Esquire           75 best, sept 2008",Flanagan          best of 21st century,Observer           100 best of all time compiled in 2003,Daniel Burt      100 greatest novels of all time compiled in 2004,Radcliffe          100 best of 20th century compiled in 1998,Time Magazine         100 best novels since 1923 compiled in 2005,NYTimes      best novels of last 25 years compiled in 2006
"Helprin, Mark",Winter's Tale,1983,2,1,,,,,,,1,,,,,,1
"Kennedy, William",Ironweed,1983,4,1,92,,1,,,1,,,,,,,1983
"Marquez, Gabriel Garcia",Chronicle of a Death Foretold,1983,1,,,,,,,,,,,,,,1983
"Munro, Alice",The Moons of Jupiter,1983,1,,,,,,,,,,,,,,1983
"Olson, Toby",Seaview,1983,1,,,,,,1,,,,,,,,
"Roth, Philip",The Anatomy Lesson,1983,1,,,,,,,,,,,,,,1983
"Beattie, Ann",The Burning House,1982,1,,,,,,,,,,,,,,1983
"Elkin, Stanley",George Mills,1982,1,,,,1,,,,,,,,,,
"Keneally, Thomas",Schindler's List,1982,3,,,1,,,,,,,,,41,,1982
"Llosa, Mario Vargas",Aunt Julia and the Scriptwriter,1982,1,,,,,,,,,,,,,,1982
"Tyler, Anne",Dinner at the Homesick Restaurant,1982,1,,,,,,,,,,,,,,1982
"Updike, John",Bech is Back,1982,1,,,,,,,,,,,,,,1982
"Walker, Alice",The Color Purple,1982,3,,,,,1,,1,,,,,5,,
"Abish, Walter",How German Is It,1981,1,,,,,,1,,,,,,,,
"Bradley, David",The Chaneysville Incident,1981,2,,,,,,1,,,,,,,,1981
"Gray, Alasdair",Lanark,1981,1,,,,,,,,,,1,,,,
"Gray, Francine du Plessix",World Without End,1981,1,,,,,,,,,,,,,,1981
"Morris, Wright",Plains Song,1981,1,,,,,1,,,,,,,,,
"Roth, Philip",Zuckerman Unbound,1981,1,,,,,,,,,,,,,,1981
"Rushdie, Salman",Midnight's Children,1981,6,,90,1,,,,,1,,,,100,1,1981
"Stone, Robert",A Flag for Sunrise,1981,1,,,,,,,,,,,,,,1981
"Thomas, D. M. ",The White Hotel,1981,1,,,,,,,,,,,,,,1981
"Beattie, Ann",Falling in Place,1980,1,,,,,,,,,,,,,,1980
"Calvino, Italo",Italian Folktales,1980,1,,,,,,,,,,,,,,1980
"Coetzee, J M ",Waiting for the Barbarians,1980,2,,,,,,,,,,1,,,,1982
"Doctorow, E. L.",Loon Lake,1980,1,,,,,,,,,,,,,,1980
"Frisch, Max",Man in the Holocene,1980,1,1,,,,,,,,,,,,,1980
"Golding, William",Rites of Passage,1980,1,,,1,,,,,,,,,,,
"Hazard, Shirley",The Transit of Venus,1980,1,,,,1,,,,,,,,,,
"Maxwell, William","So Long, See You Tomorrow",1980,2,,,,,1,,,1,,,,,,
"Robinson, Marilynne",Housekeeping,1980,3,1,,,,,,,,,1,,,1,2
"Toole, John Kennedy",A Confederacy of Dunces,1980,3,1,,,,,,1,1,,,,,,1
"Welty, Eudora",The Collected Stories of Eudora Welty,1980,2,,,,,1,,,,,,,,,1980
"Calvino, Italo",If on a Winter's Night a Traveler,1979,1,,,,,,,,,,1,,,,
"Didion, Joan",The White Album,1979,1,,,,,,,,,,,,,,1979
"Epstein, Leslie",King of the Jews,1979,1,,,,,,,,,,,,,,1979
"Fitzgerald, Penelope",Offshore,1979,1,,,1,,,,,,,,,,,
"Flanagan, Thomas",The Year of the French,1979,1,,,,1,,,,,,,,,,
"Hardwick, Elizabeth",Sleepless Nights,1979,1,,,,,,,,,,,,,,1979
"Harrison, Jim",Legends of the Fall,1979,1,,,,,,,,1,,,,,,
"Kundera, Milan",The Book of Laughter and Forgetting,1979,1,,,,,,,,,,1,,,,
"Mailer, Norman",The Executioner's Song,1979,3,,,,,,,1,,,1,,,,1979
"Naipaul, V S",A Bend in the River,1979,3,1,83,,,,,,,,1,,,,1979
"O'Brien, Tim",Going After Cacciato,1979,1,,,,,1,,,,,,,,,
"O'Connor, Flannery",The habit of Being,1979,1,,,,,,,,,,,,,,1979
"Roth, Philip",The Ghost Writer,1979,1,1,,,,,,,,,,,,,1979
"Styron, William",Sophie's Choice,1979,4,1,96,,,1,,,1,,,,57,,
"Updike, John",Too Far to Go: The Maples Stories,1979,1,,,,,,,,,,,,,,1979
"Wolfe, Tom",The Right Stuff,1979,1,,,,,,,,1,,,,,,
"Bukowski, Charles",Women   ,1978,1,1,,,,,,,1,,,,,,
"Cheever, John",Collected Stories,1978,5,,,,1,1,,1,1,,,,,,1978
"Gordon, Mary",Final Payments,1978,1,,,,,,,,,,,,,,1978
"Grass, Gunter",The Flounder,1978,1,,,,,,,,,,,,,,1978
"Irving, John",The World According to Garp,1978,3,1,,,,1,,,,,,,37,,1978
"Johnson, Diane",Lying Low,1978,1,,,,,,,,,,,,,,1978
"Lessing, Doris",Stories,1978,1,,,,,,,,,,,,,,1978
"McPherson, James Alan",Elbow Room,1978,1,,,,,,,1,,,,,,,
"Murdoch, Iris","The Sea, The Sea",1978,1,,,1,,,,,,,,,,,
"Settle, Mary Lee",Blood Tie,1978,1,,,,,1,,,,,,,,,
"Simmons, Charles",Wrinkles,1978,1,,,,,,,,,,,,,,1978
"Updike, John",The Coup,1978,1,,,,,,,,,,,,,,1978
"Adams, Douglas",A Hitchhiker's Guide to the Galaxy,1977,1,,,,,,,,,,,,72,,
"Cheever, John",Falconer,1977,2,1,,,,,,,,,,,,1,1977
"Didion, Joan",A Book of Common Prayer,1977,1,1,,,,,,,,,,,,,1977
"Herr, Michael",Dispatches,1977,1,,,,,,,,1,,,,,,
"King, Stephen",The Shining,1977,1,,,,,,,,1,,,,,,
"Lowell, Robert",Day by Day,1977,1,,,,,,,,,,,,,,1977
"Morrison, Toni",Song of Solomon,1977,4,1,,,1,,,,,,1,,25,,1977
"Scott, Paul",Staying ON,1977,1,,,1,,,,,,,,,,,
"Stegner, Wallace",The Spectator Bird,1977,1,,,,,1,,,,,,,,,
"Adler, Renata",Speedboat,1976,1,,,,,,,,,,,,,,1976
"Gaddis, William",J. R.,1976,1,,,,,1,,,,,,,,,
"Gardner, John",October Light,1976,2,,,,1,,,,,,,,,,1976
"Haley, Alex",Roots,1976,1,,,,,,,,,,,,,,1976
"Howe, Irving",World of Our Fathers,1976,1,,,,,,,,,,,,,,1976
"Jhabvala, Ruth Prawer",Heat and Dust,1976,2,,,1,,,,,,,,,,,1976
"Marquez, Gabriel Garcia",The Autumn of the Patriarch,1976,1,,,,,,,,,,,,,,1976
"Nabokov, Vladimir",Details of a Sunset,1976,1,,,,,,,,,,,,,,1976
"Powell, Anthony",A Dance to the Music of Time,1976,3,,43,,,,,,,,,,,1,1976
"Storey, David",Saville,1976,1,,,1,,,,,,,,,,,
"Yates, Richard",The Easter Parade,1976,1,,,,,,,,,,,,,,1976
"Barhelme, Donald",The Dead Father,1975,1,,,,,,,,,,,,,,1975
"Bellow, Saul",Humboldt's Gift,1975,2,1,,,,,,1,,,,,,,1975
"Doctorow, E L",Ragtime,1975,4,1,86,,1,,,,,,,,,1,1975
"Matthiessen, Peter",Far Tortuga,1975,1,,,,,,,,,,,,,,1975
"Michaels, Leonard",I Would Have Saved Them If I could,1975,1,,,,,,,,,,,,,,1975
"Naipaul, V S",Guerillas,1975,1,,,,,,,,,,,,,,1975
"Williams, Thomas",The Hair of Harold Roux,1975,1,,,,,1,,,,,,,,,
"Bainbridge, Beryl",The Bottle Factory Outing,1974,1,,,,,,,,,,1,,,,
"Gordimer, Nadine",The Conservationist,1974,1,,,1,,,,,,,,,,,
"Heller, Joseph",Something Happened,1974,1,,,,,,,,,,,,,,1974
"LeCarre, John",Tinker Tailor Soldier Spy,1974,1,,,,,,,,,,1,,,,
"Middleton, Stanley",Holiday,1974,1,,,1,,,,,,,,,,,
"Shaara, Michael",Killer Angels,1974,2,1,,,,,,1,1,,,,,,
"Singer, Isaac Bashevis",A Crown of Feathers and Other Stories,1974,1,,,,,1,,,,,,,,,
"Stone, Robert",Dog Soldiers,1974,4,1,,,,1,,,,1,,,,1,1974
"Barth, John",Chimera,1973,1,,,,,1,,,,,,,,,
"Farrell, J. G. ",The Siebe of Krishnapur,1973,1,,,1,,,,,,,,,,,
"Lessing, Doris",The Summer Before the Dark,1973,1,,,,,,,,,,,,,,1973
"Pynchon, Thomas",Gravity's Rainbow,1973,4,,,,,1,,,,,,28,,1,1973
"Welty, Eudora",The Optimist's Daughter,1973,1,,,,,,,1,,,,,,,
"Williams, John Edward ",Augustus,1973,1,,,,,1,,,,,,,,,
"Berger, John",G.,1972,1,,,1,,,,,,,,,,,
"McCullough, David",The Great Bridge,1972,1,,,,,,,,1,,,,,,
"O'Connor, Flannery",The Complete Stories,1972,1,,,,,1,,,,,,,,,
"Stegner, Wallace",The Angle of Repose,1972,3,1,82,,,,,1,1,,,,,,
"Bellow, Saul",Mr. Sammler's Planet,1971,1,1,,,,1,,,,,,,,,
"Eliot, T. S. ",The Waste Land: A Facisimile and Transcript of the Original Drafts including the annotations of Ezrz Pound,1971,1,,,,,,,,,,,,,,1971
"Naipaul, V S",In a Free State,1971,1,,,1,,,,,,,,,,,
"Ouologuem, Yambo",Bound to Violence,1971,1,,,,,,,,,,,,,,1971
"Barhelme, Donald",City Life,1970,1,,,,,,,,,,,,,,1970
"Blume, Judy","Are You There God?  It's Me, Margaret",1970,1,1,,,,,,,,,,,,1,
"Dickey, James",Deliverance,1970,3,1,42,,,,,,1,,,,,1,
"Didion, Joan",Play it as it Lays,1970,1,1,,,,,,,,,,,,1,
"Marquez, Gabriel Garcia",One Hundred Years of Solitude,1970,3,1,,,,,,,,,1,19,,,1970
"Rubens, Bernice",The Elected Member,1970,1,,,1,,,,,,,,,,,
"Updike, John",Bech: A Book,1970,1,1,,,,,,,,,,,,,1970
"Welty, Eudora",Losing Battles,1970,1,1,,,,,,,,,,,,,1970
"Celine, Louis-Ferdinand",Castle to Castle,1969,1,,,,,,,,,,,,,,1969
"Dick, Philip K",Ubik,1969,1,,,,,,,,,,,,,1,
"Fowles, John",The French Lieutenant's Woman,1969,2,,,,,,,,,,,,93,1,
"Kosinski, Jerzy",Steps,1969,1,1,,,,1,,,,,,,,,
"Momaday, N. Scott",House Made of Dawn,1969,1,,,,,,,1,,,,,,,
"Newby, P. H.",Something to Answer For,1969,1,,,1,,,,,,,,,,,
"Oates, Joyce Carol",them,1969,2,1,,,,1,,,,,,,,,1969
"O'Brian, Patrick",Master and Commander,1969,1,,,,,,,,1,,,,,,
"Roth, Philip",Portnoy's Complaint,1969,3,1,52,,,,,,,,,,,1,1969
"Stafford, Jean",Collected Stories,1969,2,,,,,,,1,,,,,,,1969
"Taylor, Peter",Collected Stories,1969,1,,,,,,,,,,,,,,1969
"Vonnegut, Kurt",Slaughterhouse Five,1969,5,1,18,,,,,,1,,,,29,1,1969
"Berryman, John","His Toy, His Dream, His Rest",1968,1,,,,,,,,,,,,,,1968
"Exley, Frederick",A Fan's Notes,1968,1,,,,,,,,1,,,,,,
"Solzhenitsyn, Alexander",The First Circle,1968,1,,,,,,,,,,,,,,1968
"Wilder, Thornton",The Eighth Day,1968,1,,,,,1,,,,,,,,,
"Malamud, Bernard",The Fixer,1967,2,1,,,,1,,1,,,,,,,
"Salter, James",A Sport and a Pastime,1967,1,1,,,,,,,1,,,,,,
"Styron, William",The Confessions of Nat Turner,1967,2,1,,,,,,1,,,,,,1,
"Porter, Katherine Anne",Collected Stories,1966,2,1,,,,1,,1,,,,,,,
"Pynchon, Thomas",The Crying of Lot 49,1966,1,1,,,,,,,,,,,,1,
"Rhys, Jean",Wide Sargasso Sea,1966,3,1,94,,,,,,,,,,81,1,
"Thompson, Hunter S. ",Hell's Angels,1966,1,,,,,,,,1,,,,,,
"Capote, Truman",In Cold Blood,1965,1,,,,,,,,,,,,53,,
"Fowles, John",The Magus,1965,1,1,93,,,,,,,,,,,,
"Grau, Shirley Ann",The Keepers of the House,1965,1,,,,,,,1,,,,,,,
"Haley, Alex",Autobiography of Malcolm X,1965,1,,,,,,,,1,,,,,,
"Kosinski, Jerzy",The Painted Bird,1965,1,1,,,,,,,,,,,,1,
"McPhee, John",A Sense of Where You Are,1965,1,,,,,,,,1,,,,,,
"Bellow, Saul",Herzog,1964,4,1,,,,1,,,,,1,65,,1,
"Updike, John",The Centaur,1964,1,1,,,,1,,,,,,,,,
"Faulkner, William",The Reivers,1963,1,,,,,,,1,,,,,,,
"LeCarre, John",The Spy Who Came in From the Cold,1963,2,1,,,,,,,1,,,,,1,
"Power, J. F. ",Morte D'Urban,1963,1,,,,,1,,,,,,,,,
"Vonnegut, Kurt",Cat's Cradle,1963,1,,,,,,,,,,,,66,,
"Borges, Jorge Luis",Labyrinths,1962,1,,,,,,,,1,,,,,,
"Burgess, Anthony",A Clockwork Orange,1962,3,1,65,,,,,,,,,,49,1,
"Fuentes, Carlos",The Death of Artemio Cruz,1962,1,,,,,,,,,,,72,,,
"Kesey, Ken",One Flew Over the Cukoo's Nest,1962,3,1,,,,,,,1,,,,28,1,
"Lessing, Doris",The Golden Notebook,1962,2,,,,,,,,,,,48,,1,
"Nabokov, Vladimir",Pale Fire,1962,2,,53,,,,,,,,,,,1,
"O'Connor, Edwin",The Edge of Sadness,1962,1,,,,,,,1,,,,,,,
"Yates, Richard",Revolutionary Road,1962,2,1,,,,,,,1,,,,,1,
"Heller, Joseph",Catch 22,1961,3,1,7,,,,,,,,,,15,1,
"Naipaul, V S",A House for Mr Biswas,1961,2,,72,,,,,,,,,,,1,
"Percy, Walker",The Moviegoer,1961,3,1,60,,,1,,,,,,,,1,
"Richter, Conrad",The Waters of Kronos,1961,1,,,,,1,,,,,,,,,
"Salinger, J D",Franny and Zooey,1961,1,1,,,,,,,,,,,54,,
"Spark, Muriel",The Prime of Miss Jean Brodie,1961,3,1,76,,,,,,,,1,,,1,
"Barth, John",The Sot-Weed Factor,1960,1,,,,,,,,,,,,,1,
"Drury, Allen",Advise and Consent,1960,1,,,,,,,1,,,,,,,
"Durell, Lawrence",The Alexandria Quartet,1960,1,,70,,,,,,,,,,,,
"Lee, Harper",To Kill a Mockingbird,1960,4,1,,,,,,1,,,1,,4,1,
"Roth, Philip","Goodbye, Columbus",1960,1,1,,,,1,,,,,,,,,
"Updike, John",Rabbit Run and Rabbit Novels,1960,7,1,,,1,1,,1,1,,,,97,1,2
"Bellow, Saul",Henderson the Rain King,1959,1,1,21,,,,,,,,,,,,
"Burroughs, William S.",Naked Lunch,1959,2,,,,,,,,,,,,73,1,
"Grass, Gunter",The Tin Drum,1959,2,,,,,,,,,,1,39,,,
"Knowles, John",A Separate Peace,1959,1,1,,,,,,,,,,,67,,
"Malamud, Bernard",The Magic Barrel,1959,1,,,,,1,,,,,,,,,
"Taylor, Robert Lewis",The Travels of Jaimie McPheeters,1959,1,,,,,,,1,,,,,,,
"Achebe, Chinua",Things Fall Apart,1958,4,1,,,,,,,,,1,56,70,1,
"Heinz, W. C.",The Professional,1958,1,,,,,,,,1,,,,,,
"Lampedusa, Giuseppi",The Leopard,1958,1,,,,,,,,,,,93,,,
"Agee, James",A Death in the Family,1957,2,1,,,,,,1,,,,,,1,
"Cheever, John",The Wapshot Chronicles,1957,2,1,63,,,1,,,,,,,,,
"Kerouac, Jack",The Dharma Bums,1957,1,,,,,,,,1,,,,,,
"Malamud, Bernard",The Assistant,1957,1,1,,,,,,,,,,,,1,
"Morris, Wright",The Field of Vision,1957,1,,,,,1,,,,,,,,,
"Rand, Ayn",Atlas Shrugged,1957,1,,,,,,,,,,,,92,,
"Kantor, MacKinlay",Andersonville,1956,1,,,,,,,1,,,,,,,
"O'Hara, John",Ten North Frederick,1956,1,,,,,1,,,,,,,,,
"Donleavy, J P",The Ginger Man,1955,1,,99,,,,,,,,,,,,
"Faulkner, William",A Fable,1955,2,,,,,1,,1,,,,,,,
"Gaddis, William",The Recognitions,1955,1,,,,,,,,,,,,,1,
"Greene, Graham",The Quiet American,1955,1,,,,,,,,,,1,,,,
"Kerouac, Jack",On the Road,1955,5,1,55,,,,,,,,1,91,31,1,
"Nabokov, Vladimir",Lolita,1955,6,1,4,,,,,,1,,1,47,11,1,
"O'Connor, Flannery",A Good Man is Hard to Find,1955,2,1,,,,,,,1,,,,61,,
"Amis, Kingsley",Lucky Jim,1954,3,1,,,,,,,1,,1,,,1,
"Golding, William",Lord of the Flies,1954,4,1,41,,,,,,,,1,,8,1,
"Murdoch, Iris",Under the Net,1954,2,,95,,,,,,,,,,,1,
"Baldwin, James",Go Tell it on the Mountain,1953,3,1,39,,,,,,,,,,36,1,
"Bellow, Saul",The Adventures of Augie March,1953,4,1,81,,,1,,,1,,,,,1,
"Jones, James",From Here to Eternity,1953,2,,62,,,1,,,,,,,,,
"Ellison, Ralph",Invisible Man,1952,6,1,19,,,1,,,1,,,25,24,1,
"Hemingway, Ernest",The Old Man and the Sea,1952,2,1,,,,,,1,,,,,32,,
"O'Connor, Flannery",Wise Blood,1952,1,1,,,,,,,,,1,,,,
"White, E B",Charlotte's Web,1952,2,1,,,,,,,,,1,,13,,
"Wouk, Herman",The Caine Mutiny,1952,1,1,,,,,,1,,,,,,,
"Beckett, Samuel",Molloy; Malone Dies; The Unnamable,1951,2,,,,,,,,,,1,40,,,
"Faulkner, William",Collected Stories,1951,1,,,,,1,,,,,,,,,
"Richter, Conrad",The Town,1951,1,,,,,,,1,,,,,,,
"Salinger, J D",The Catcher in the Rye,1951,5,1,64,,,,,,,,1,94,2,1,
"Algren, Nelson",The Man with the Golden Arm,1950,1,,,,,1,,,,,,,,,
"Guthrie, A. B.",The Way West,1950,1,1,,,,,,1,,,,,,,
"Lewis, C. S.","The Lion, The Witch and the Wardrobe",1950,1,,,,,,,,,,,,,1,
"Bowles, Paul",The Sheltering Sky,1949,2,1,97,,,,,,,,,,,1,
"Cozzens, James Gould",Guard of Honor,1949,1,,,,,,,1,,,,,,,
"Orwell, George",1984,1949,5,1,13,,,,,,,,1,86,9,1,
"Tolkien, J R R",The Lord of the Rings,1949,3,1,,,,,,,,,1,,40,1,
"Greene, Graham",The Heart of the Matter,1948,2,1,40,,,,,,,,,,,1,
"Mailer, Norman",The Naked and the Dead,1948,3,1,51,,,,,,1,,,,80,,
"Michener, James",Tales of the South Pacific,1948,1,,,,,,,1,,,,,,,
"Camus, Albert",The Plague,1947,1,,,,,,,,,,1,,,,
"Lowry, Malcolm",Under the Volcano,1947,4,1,11,,,,,,1,,,81,,1,
Isherwood,The Berlin Stories,1946,1,,,,,,,,,,,,,1,
"Warren, Robert Penn",All The King's Men,1946,5,1,36,,,,,1,1,,,,38,1,
"Fitzgerald, F Scott",The Crack-Up,1945,1,,,,,,,,1,,,,,,
"Green, Henry",Loving,1945,2,1,89,,,,,,,,,,,1,
"Hersey, John",A Bell for Adano,1945,1,,,,,,,1,,,,,,,
"Milford, Nancy",The Pursuit of Love,1945,1,,,,,,,,,,1,,,,
"Orwell, George",Animal Farm,1945,3,1,31,,,,,,,,,,17,1,
"Taylor, Elizabeth",Mrs Palfrey at the Claremont,1945,1,,,,,,,,,,1,,,,
"Waugh, Evelyn",Brideshead Revisited,1945,4,1,80,,,,,,,,,74,74,1,
"Flavin, Martin",Journey in the Dark,1944,1,,,,,,,1,,,,,,,
"Rand, Ayn",Fountainhead,1943,1,,,,,,,,,,,,43,,
"Sinclair, Upton",Dragon's Teeth,1943,1,,,,,,,1,,,,,,,
"Camus, Albert",The Stranger,1942,1,1,,,,,,,,,,58,,,
"Glasgow, Ellen",In This Our Life,1942,1,,,,,,,1,,,,,,,
"Agee, James",Let Us Now Praise Famous Men,1940,1,1,,,,,,,1,,,,,,
"Greene, Graham",The Power and the Glory,1940,2,1,,,,,,,1,,,,,1,
"Hemingway, Ernest",For Whom the Bell Tolls,1940,2,1,,,,,,,1,,,,30,,
"Koestler, Arthur",Darkness at Noon,1940,1,1,8,,,,,,,,,,,,
"McCullers, Carson",The Heart is a Lonely Hunter,1940,2,1,17,,,,,,,,,,,1,
"Stead, Christina",The Man Who Loved Children,1940,1,,,,,,,,,,,,,1,
"Wright, Richard",Native Son,1940,5,1,20,,,,,,1,,,80,27,1,
"Chandler, Raymond",The Big Sleep,1939,2,1,,,,,,,,,1,,,1,
"Joyce, James",Finnegans Wake,1939,3,,77,,,,,,,,,26,44,,
"O'Brien, Flann",At Swim-Two-Birds,1939,1,,,,,,,,,,,,,1,
"Rawlings, Marjorie Kinnan",The Yearling,1939,1,,,,,,,1,,,,,,,
"Steinbeck, John",The Grapes of Wrath,1939,6,1,10,,,,,1,1,,,54,3,1,
"West, Nathanael",The Day of the Locust,1939,2,1,73,,,,,,,,,,,1,
"Bowen, Elizabeth",The Death of the Heart,1938,2,,84,,,,,,,,,,,1,
"Marquand, John Phillips",The Late George Apley,1938,1,,,,,,,1,,,,,,,
"Maurier, Daphne du",Rebecca,1938,1,,,,,,,,,,,,71,,
"Waugh, Evelyn",Scoop,1938,2,,75,,,,,,,,1,,,,
"Cather, Willa",Death Comes for the Archbishop,1937,3,1,61,,,,,,,,,,89,1,
"Hurston, Zora Neale",Their Eyes Were Watching God,1937,3,1,,,,,,,,,,83,23,1,
"Kawabata, Yasunari",Snow Country,1937,1,1,,,,,,,,,,85,,,
"Steinbeck, John",Of Mice and Men,1937,1,1,,,,,,,,,,,12,,
"Davis, Harold",Honey in the Horn,1936,1,,,,,,,1,,,,,,,
"Faulkner, William","Absalom, Absalom",1936,2,1,,,,,,,,,,17,58,,
"Mitchell, Margaret",Gone with the Wind,1936,4,1,,,,,,1,,,,100,26,1,
"Farrell, James T",The Studs Lonigan Trilogy,1935,1,,29,,,,,,,,,,,,
"Johnson, Josephine Winslow",Now in November,1935,1,,,,,,,1,,,,,,,
"Cain, James M",The Postman Always Rings Twice,1934,2,1,98,,,,,,,1,,,,,
"Fitzgerald, F Scott",Tender is the Night,1934,2,1,28,,,,,,,,,,62,,
"Graves, Robert","I, Claudius",1934,2,1,14,,,,,,,,,,,1,
"Miller, Caroline",Lamb in His Bosom,1934,1,,,,,,,1,,,,,,,
"Miller, Henry",Tropic of Cancer,1934,4,1,50,,,,,,1,,,,84,1,
"O'Hara, John",Appointment in Samarra,1934,2,1,22,,,,,,,,,,,1,
"Roth, Henry",Call it Sleep,1934,2,,,,,,,,,,,67,,1,
"Waugh, Evelyn",A Handful of Dust,1934,2,1,34,,,,,,,,,,,1,
"Stein, Gertrude",The Autobiography of Alice B Tokias,1933,1,,,,,,,,,,,,78,,
"Stribling, T. S. ",The Store,1933,1,,,,,,,1,,,,,,,
"Buck, Pearl",The Good Earth,1932,1,1,,,,,,1,,,,,,,
"Caldwell, Erskine",Tobacco Road,1932,1,1,91,,,,,,,,,,,,
"Celine, Louis-Ferdinand",Journey to the End of Night,1932,1,,,,,,,,,,1,,,,
"Faulkner, William",Light in August,1932,3,1,54,,,,,,,,,,68,1,
"Huxley, Aldous",Brave New World,1932,3,1,5,,,,,,,,1,,16,,
"Barnes, Margaret Ayer",Years of Grace,1931,1,,,,,,,1,,,,,,,
"Dos Passos, John",U.S.A. (trilogy),1930,3,,23,,,,,,,,1,68,,,
"Faulkner, William",As I Lay Dying,1930,4,1,35,,,,,,1,,1,,19,,
"Hammett, Dashiell",The Maltese Falcon,1930,2,1,56,,,,,,,,,,79,,
"Lafarge, Oliver",Laughing Boy,1930,1,1,,,,,,1,,,,,,,
"Musil, Robert",The Man Without Qualities,1930,1,,,,,,,,,,,27,,,
"Doblin, Alfred",Berlin Alexanderplatz,1929,1,,,,,,,,,,,70,,,
"Faulkner, William",The Sound and the Fury,1929,4,1,6,,,,,,,,,23,10,1,
"Hammett, Dashiell",Red Harvest/Continental Op,1929,2,,,,,,,,1,,,,,1,
"Hemingway, Ernest",A Farewell to Arms,1929,3,1,74,,,,,,,,,73,20,,
"Hughes, Richard",A High Wind in Jamaica,1929,1,1,71,,,,,,,,,,,,
"Peterkin, Julia",Scarlet Sister Mary,1929,1,,,,,,,1,,,,,,,
"Wolfe, Thomas",Look Homeward Angel,1929,1,1,,,,,,,,,,,76,,
"Ford, Ford Madox ",Parade's End,1928,1,,57,,,,,,,,,,,,
"Huxley, Aldous",Point Counter Point,1928,1,,44,,,,,,,,,,,,
"Lawrence, D H",Lady Chatterly's Lover,1928,1,1,,,,,,,,,,,48,,
"Woolf, Virginia",Orlando,1928,1,,,,,,,,,,,,63,,
"Bromfield, Louis",Early Autumn,1927,1,,,,,,,1,,,,,,,
"Hemingway, Ernest",Men Without Women,1927,1,,,,,,,,,,1,,,,
"Wilder, Thornton",The Bridge of San Luis Rey,1927,3,1,37,,,,,1,,,,,,1,
"Woolf, Virginia",To the Lighthouse,1927,4,1,15,,,,,,,,,21,34,1,
"Gide, Andre",The Counterfeiters,1926,1,,,,,,,,,,,60,,,
"Hemingway, Ernest",The Sun Also Rises,1926,3,1,45,,,,,,,,,,18,1,
"Lewis, Sinclair",Arrowsmith,1926,1,,,,,,,1,,,,,,,
"Milne, A A",Winnie the Pooh,1926,1,,,,,,,,,,,,22,,
"Dreiser, Theodore",An American Tragedy,1925,4,,16,,,,,,,,,46,88,1,
"Ferber, Edna",So Big,1925,1,,,,,,,1,,,,,,,
"Fitzgerald, F Scott",The Great Gatsby,1925,5,1,2,,,,,,,,1,20,1,1,
"Hemingway, Ernest",In Our Time,1925,1,1,,,,,,,,,,,77,,
"Kafka, Franza",The Trial,1925,2,1,,,,,,,,,1,51,,,
"Woolf, Virginia",Mrs Dalloway,1925,3,1,,,,,,,,,1,,46,1,
"Forster, E M",A Passage to India,1924,5,1,25,,,,,,,,1,64,59,1,
"Mann, Thomas",The Magic Mountain,1924,1,,,,,,,,,,,9,,,
"Wilson, Margaret",The Able McLaughlins,1924,1,,,,,,,1,,,,,,,
"Cather, Willa",One of Ours,1923,1,,,,,,,1,,,,,,,
"Fitzgerald, F Scott",The Beautiful and the Damned,1922,1,,,,,,,,,,,,96,,
"Joyce, James",Ulysses,1922,4,1,1,,,,,,,,1,3,6,,
"Lewis, Sinclair",Babbitt,1922,1,,,,,,,,,,,,94,,
"Tarkington, Booth",Alice Adams,1922,1,,,,,,,1,,,,,,,
"Hasek, Jaroslav",The Good Soldier Svejk,1921,1,,,,,,,,,,,96,,,
"Fitzgerald, F Scott",This Side of Paradise,1920,1,,,,,,,,,,,,91,,
"Lawrence, D H",Women in Love,1920,3,1,49,,,,,,,,,30,75,,
"Lewis, Sinclair",Main Street,1920,2,1,68,,,,,,,,,,99,,
"Wharton, Edith",The Age of Innocence,1920,4,1,58,,,,,1,,,,61,42,,
"Anderson, Sherwood","Winesburg, Ohio",1919,2,1,24,,,,,,1,,,,,,
"Cather, Willa",My Antonia,1918,2,1,,,,,,,,,,59,51,,
"Poole, Ernestq",His Family,1918,1,,,,,,,1,,,,,,,
"Tarkington, Booth",The Magnificent Ambersons,1918,2,,100,,,,,1,,,,,,,
"Bely, Andrey",Petersburg,1916,1,,,,,,,,,,,55,,,
"Joyce, James",A Portrait of the Artist as a Young Man,1916,3,1,3,,,,,,,,,37,14,,
"Buchan, John",The Thirty-Nine Steps,1915,1,,,,,,,,,,1,,,,
"Ford, Ford Madox ",The Good Soldier,1915,3,1,30,,,,,,,,1,62,,,
"Lawrence, D H",The Rainbow,1915,2,,48,,,,,,,,1,,,,
"Maugham, Somerset",Of Human Bondage,1915,1,,66,,,,,,,,,,,,
"Joyce, James",Dubliners,1914,1,,,,,,,,1,,,,,,
"Cather, Willa",O Pioneers!,1913,1,1,,,,,,,,,,,83,,
"Lawrence, D H",Sons and Lovers,1913,2,1,9,,,,,,,,,,64,,
"Proust, Marcel",In Search of Lost Time,1913,2,,,,,,,,,,1,4,,,
"Beerbohm, Max",Zuleika Dobson,1911,1,,59,,,,,,,,,,,,
